Date|DateKey|Year|Year Quarter|Year Quarter Number|Quarter|Year Month|Year Month Short|Year Month Number|Month|Month Short|Month Number|Day of Week|Day of Week Short|Day of Week Number|Working Day|Working Day Number
2017-02-02|20170202|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Thursday|Thu|5|True|22
2017-02-03|20170203|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Friday|Fri|6|True|23
2017-02-04|20170204|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Saturday|Sat|7|False|23
2017-02-05|20170205|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Sunday|Sun|1|False|23
2017-02-06|20170206|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Monday|Mon|2|True|24
2017-02-07|20170207|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Tuesday|Tue|3|True|25
2017-02-08|20170208|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Wednesday|Wed|4|True|26
2017-02-09|20170209|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Thursday|Thu|5|True|27
2017-02-10|20170210|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Friday|Fri|6|True|28
2017-02-11|20170211|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Saturday|Sat|7|False|28
2017-02-12|20170212|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Sunday|Sun|1|False|28
2017-02-13|20170213|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Monday|Mon|2|True|29
2017-02-14|20170214|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Tuesday|Tue|3|True|30
2017-02-15|20170215|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Wednesday|Wed|4|True|31
2017-02-16|20170216|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Thursday|Thu|5|True|32
2017-02-17|20170217|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Friday|Fri|6|True|33
2017-02-18|20170218|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Saturday|Sat|7|False|33
2017-02-19|20170219|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Sunday|Sun|1|False|33
2017-02-20|20170220|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Monday|Mon|2|False|33
2017-02-21|20170221|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Tuesday|Tue|3|True|34
2017-02-22|20170222|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Wednesday|Wed|4|True|35
2017-02-23|20170223|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Thursday|Thu|5|True|36
2017-02-24|20170224|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Friday|Fri|6|True|37
2017-02-25|20170225|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Saturday|Sat|7|False|37
2017-02-26|20170226|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Sunday|Sun|1|False|37
2017-02-27|20170227|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Monday|Mon|2|True|38
2017-02-28|20170228|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Tuesday|Tue|3|True|39
2017-03-01|20170301|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Wednesday|Wed|4|True|40
2017-03-02|20170302|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Thursday|Thu|5|True|41
2017-03-03|20170303|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Friday|Fri|6|True|42
2017-03-04|20170304|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Saturday|Sat|7|False|42
2017-03-05|20170305|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Sunday|Sun|1|False|42
2017-03-06|20170306|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Monday|Mon|2|True|43
2017-03-07|20170307|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Tuesday|Tue|3|True|44
2017-03-08|20170308|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Wednesday|Wed|4|True|45
2017-03-09|20170309|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Thursday|Thu|5|True|46
2017-03-10|20170310|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Friday|Fri|6|True|47
2017-03-11|20170311|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Saturday|Sat|7|False|47
2017-03-12|20170312|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Sunday|Sun|1|False|47
2017-03-13|20170313|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Monday|Mon|2|True|48
2017-03-14|20170314|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Tuesday|Tue|3|True|49
2017-03-15|20170315|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Wednesday|Wed|4|True|50
2017-03-16|20170316|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Thursday|Thu|5|True|51
2017-03-17|20170317|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Friday|Fri|6|True|52
2017-03-18|20170318|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Saturday|Sat|7|False|52
2017-03-19|20170319|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Sunday|Sun|1|False|52
2017-03-20|20170320|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Monday|Mon|2|True|53
2017-03-21|20170321|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Tuesday|Tue|3|True|54
2017-03-22|20170322|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Wednesday|Wed|4|True|55
2017-03-23|20170323|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Thursday|Thu|5|True|56
2017-03-24|20170324|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Friday|Fri|6|True|57
2017-03-25|20170325|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Saturday|Sat|7|False|57
2017-03-26|20170326|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Sunday|Sun|1|False|57
2017-03-27|20170327|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Monday|Mon|2|True|58
2017-03-28|20170328|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Tuesday|Tue|3|True|59
2017-03-29|20170329|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Wednesday|Wed|4|True|60
2017-03-30|20170330|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Thursday|Thu|5|True|61
2017-03-31|20170331|2017|Q1-2017|8069|Q1|March 2017|Mar 2017|24207|March|Mar|3|Friday|Fri|6|True|62
2017-04-01|20170401|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Saturday|Sat|7|False|62
2017-04-02|20170402|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Sunday|Sun|1|False|62
2017-04-03|20170403|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Monday|Mon|2|True|63
2017-04-04|20170404|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Tuesday|Tue|3|True|64
2017-04-05|20170405|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Wednesday|Wed|4|True|65
2017-04-06|20170406|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Thursday|Thu|5|True|66
2017-04-07|20170407|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Friday|Fri|6|True|67
2017-04-08|20170408|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Saturday|Sat|7|False|67
2017-04-09|20170409|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Sunday|Sun|1|False|67
2017-04-10|20170410|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Monday|Mon|2|True|68
2017-04-11|20170411|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Tuesday|Tue|3|True|69
2017-04-12|20170412|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Wednesday|Wed|4|True|70
2017-04-13|20170413|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Thursday|Thu|5|True|71
2017-04-14|20170414|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Friday|Fri|6|True|72
2017-04-15|20170415|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Saturday|Sat|7|False|72
2017-04-16|20170416|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Sunday|Sun|1|False|72
2017-04-17|20170417|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Monday|Mon|2|True|73
2017-04-18|20170418|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Tuesday|Tue|3|True|74
2017-04-19|20170419|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Wednesday|Wed|4|True|75
2017-04-20|20170420|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Thursday|Thu|5|True|76
2017-04-21|20170421|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Friday|Fri|6|True|77
2017-04-22|20170422|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Saturday|Sat|7|False|77
2017-04-23|20170423|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Sunday|Sun|1|False|77
2017-04-24|20170424|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Monday|Mon|2|True|78
2017-04-25|20170425|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Tuesday|Tue|3|True|79
2017-04-26|20170426|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Wednesday|Wed|4|True|80
2017-04-27|20170427|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Thursday|Thu|5|True|81
2017-04-28|20170428|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Friday|Fri|6|True|82
2017-04-29|20170429|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Saturday|Sat|7|False|82
2017-04-30|20170430|2017|Q2-2017|8070|Q2|April 2017|Apr 2017|24208|April|Apr|4|Sunday|Sun|1|False|82
2017-05-01|20170501|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Monday|Mon|2|True|83
2017-05-02|20170502|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Tuesday|Tue|3|True|84
2017-05-03|20170503|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Wednesday|Wed|4|True|85
2017-05-04|20170504|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Thursday|Thu|5|True|86
2017-05-05|20170505|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Friday|Fri|6|True|87
2017-05-06|20170506|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Saturday|Sat|7|False|87
2017-05-07|20170507|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Sunday|Sun|1|False|87
2017-05-08|20170508|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Monday|Mon|2|True|88
2017-05-09|20170509|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Tuesday|Tue|3|True|89
2017-05-10|20170510|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Wednesday|Wed|4|True|90
2017-05-11|20170511|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Thursday|Thu|5|True|91
2017-05-12|20170512|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Friday|Fri|6|True|92
2017-05-13|20170513|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Saturday|Sat|7|False|92
2017-05-14|20170514|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Sunday|Sun|1|False|92
2017-05-15|20170515|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Monday|Mon|2|True|93
2017-05-16|20170516|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Tuesday|Tue|3|True|94
2017-05-17|20170517|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Wednesday|Wed|4|True|95
2017-05-18|20170518|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Thursday|Thu|5|True|96
2017-05-19|20170519|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Friday|Fri|6|True|97
2017-05-20|20170520|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Saturday|Sat|7|False|97
2017-05-21|20170521|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Sunday|Sun|1|False|97
2017-05-22|20170522|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Monday|Mon|2|True|98
2017-05-23|20170523|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Tuesday|Tue|3|True|99
2017-05-24|20170524|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Wednesday|Wed|4|True|100
2017-05-25|20170525|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Thursday|Thu|5|True|101
2017-05-26|20170526|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Friday|Fri|6|True|102
2017-05-27|20170527|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Saturday|Sat|7|False|102
2017-05-28|20170528|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Sunday|Sun|1|False|102
2017-05-29|20170529|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Monday|Mon|2|False|102
2017-05-30|20170530|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Tuesday|Tue|3|True|103
2017-05-31|20170531|2017|Q2-2017|8070|Q2|May 2017|May 2017|24209|May|May|5|Wednesday|Wed|4|True|104
2017-06-01|20170601|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Thursday|Thu|5|True|105
2017-06-02|20170602|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Friday|Fri|6|True|106
2017-06-03|20170603|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Saturday|Sat|7|False|106
2017-06-04|20170604|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Sunday|Sun|1|False|106
2017-06-05|20170605|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Monday|Mon|2|True|107
2017-06-06|20170606|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Tuesday|Tue|3|True|108
2017-06-07|20170607|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Wednesday|Wed|4|True|109
2017-06-08|20170608|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Thursday|Thu|5|True|110
2017-06-09|20170609|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Friday|Fri|6|True|111
2017-06-10|20170610|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Saturday|Sat|7|False|111
2017-06-11|20170611|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Sunday|Sun|1|False|111
2017-06-12|20170612|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Monday|Mon|2|True|112
2017-06-13|20170613|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Tuesday|Tue|3|True|113
2017-06-14|20170614|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Wednesday|Wed|4|True|114
2017-06-15|20170615|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Thursday|Thu|5|True|115
2017-06-16|20170616|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Friday|Fri|6|True|116
2017-06-17|20170617|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Saturday|Sat|7|False|116
2017-06-18|20170618|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Sunday|Sun|1|False|116
2017-06-19|20170619|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Monday|Mon|2|True|117
2017-06-20|20170620|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Tuesday|Tue|3|True|118
2017-06-21|20170621|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Wednesday|Wed|4|True|119
2017-06-22|20170622|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Thursday|Thu|5|True|120
2017-06-23|20170623|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Friday|Fri|6|True|121
2017-06-24|20170624|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Saturday|Sat|7|False|121
2017-06-25|20170625|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Sunday|Sun|1|False|121
2017-06-26|20170626|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Monday|Mon|2|True|122
2017-06-27|20170627|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Tuesday|Tue|3|True|123
2017-06-28|20170628|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Wednesday|Wed|4|True|124
2017-06-29|20170629|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Thursday|Thu|5|True|125
2017-06-30|20170630|2017|Q2-2017|8070|Q2|June 2017|Jun 2017|24210|June|Jun|6|Friday|Fri|6|True|126
2017-07-01|20170701|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Saturday|Sat|7|False|126
2017-07-02|20170702|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Sunday|Sun|1|False|126
2017-07-03|20170703|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Monday|Mon|2|True|127
2017-07-04|20170704|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Tuesday|Tue|3|False|127
2017-07-05|20170705|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Wednesday|Wed|4|True|128
2017-07-06|20170706|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Thursday|Thu|5|True|129
2017-07-07|20170707|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Friday|Fri|6|True|130
2017-07-08|20170708|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Saturday|Sat|7|False|130
2017-07-09|20170709|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Sunday|Sun|1|False|130
2017-07-10|20170710|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Monday|Mon|2|True|131
2017-07-11|20170711|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Tuesday|Tue|3|True|132
2017-07-12|20170712|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Wednesday|Wed|4|True|133
2017-07-13|20170713|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Thursday|Thu|5|True|134
2017-07-14|20170714|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Friday|Fri|6|True|135
2017-07-15|20170715|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Saturday|Sat|7|False|135
2017-07-16|20170716|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Sunday|Sun|1|False|135
2017-07-17|20170717|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Monday|Mon|2|True|136
2017-07-18|20170718|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Tuesday|Tue|3|True|137
2017-07-19|20170719|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Wednesday|Wed|4|True|138
2017-07-20|20170720|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Thursday|Thu|5|True|139
2017-07-21|20170721|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Friday|Fri|6|True|140
2017-07-22|20170722|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Saturday|Sat|7|False|140
2017-07-23|20170723|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Sunday|Sun|1|False|140
2017-07-24|20170724|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Monday|Mon|2|True|141
2017-07-25|20170725|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Tuesday|Tue|3|True|142
2017-07-26|20170726|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Wednesday|Wed|4|True|143
2017-07-27|20170727|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Thursday|Thu|5|True|144
2017-07-28|20170728|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Friday|Fri|6|True|145
2017-07-29|20170729|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Saturday|Sat|7|False|145
2017-07-30|20170730|2017|Q3-2017|8071|Q3|July 2017|Jul 2017|24211|July|Jul|7|Sunday|Sun|1|False|145
