OrderKey|CustomerKey|StoreKey|Order Date|Delivery Date|Currency Code
276700|265709|72|2017-07-29|2017-07-29|CAD
276701|1897806|999999|2017-07-29|2017-08-02|USD
276702|1940901|570|2017-07-29|2017-07-29|USD
276900|971870|360|2017-07-31|2017-07-31|GBP
277000|78506|10|2017-08-01|2017-08-01|AUD
277100|2032541|999999|2017-08-02|2017-08-10|USD
277101|1065074|400|2017-08-02|2017-08-02|GBP
277200|2054928|630|2017-08-03|2017-08-03|USD
277201|830664|999999|2017-08-03|2017-08-06|EUR
277202|1905959|500|2017-08-03|2017-08-03|USD
277300|1662706|465|2017-08-04|2017-08-04|USD
277301|511339|270|2017-08-04|2017-08-04|EUR
277400|870694|310|2017-08-05|2017-08-05|EUR
277401|892955|999999|2017-08-05|2017-08-09|EUR
277402|1010257|380|2017-08-05|2017-08-05|GBP
277403|355541|90|2017-08-05|2017-08-05|CAD
277404|1208210|480|2017-08-05|2017-08-05|USD
277600|232943|80|2017-08-07|2017-08-07|CAD
277601|1496601|650|2017-08-07|2017-08-07|USD
277700|570449|999999|2017-08-08|2017-08-12|EUR
277701|527163|240|2017-08-08|2017-08-08|EUR
277702|1608389|530|2017-08-08|2017-08-08|USD
277800|1668495|999999|2017-08-09|2017-08-11|USD
277801|38757|40|2017-08-09|2017-08-09|AUD
277802|1462327|999999|2017-08-09|2017-08-14|USD
277803|1913550|999999|2017-08-09|2017-08-12|USD
277804|163849|999999|2017-08-09|2017-08-13|AUD
277900|622494|180|2017-08-10|2017-08-10|EUR
277901|1212508|999999|2017-08-10|2017-08-17|USD
277902|1313603|999999|2017-08-10|2017-08-13|USD
277903|2026370|670|2017-08-10|2017-08-10|USD
277904|1494204|605|2017-08-10|2017-08-10|USD
277905|1543828|550|2017-08-10|2017-08-10|USD
278000|2078290|999999|2017-08-11|2017-08-16|USD
278001|1241288|660|2017-08-11|2017-08-11|USD
278002|1262984|510|2017-08-11|2017-08-11|USD
278003|197125|999999|2017-08-11|2017-08-14|AUD
278100|1025988|400|2017-08-12|2017-08-12|GBP
278101|1266907|999999|2017-08-12|2017-08-17|USD
278102|1925289|999999|2017-08-12|2017-08-15|USD
278103|1901259|450|2017-08-12|2017-08-12|USD
278104|1881641|999999|2017-08-12|2017-08-14|USD
278105|1790724|999999|2017-08-12|2017-08-17|USD
278106|1997162|999999|2017-08-12|2017-08-17|USD
278107|1728306|630|2017-08-12|2017-08-12|USD
278300|164638|999999|2017-08-14|2017-08-16|AUD
278301|1605373|470|2017-08-14|2017-08-14|USD
278302|1843636|999999|2017-08-14|2017-08-18|USD
278400|1821488|465|2017-08-15|2017-08-15|USD
278401|1275499|999999|2017-08-15|2017-08-18|USD
278402|279994|999999|2017-08-15|2017-08-16|CAD
278403|1431108|610|2017-08-15|2017-08-15|USD
278500|1324602|999999|2017-08-16|2017-08-20|USD
278501|1656683|430|2017-08-16|2017-08-16|USD
278502|143240|40|2017-08-16|2017-08-16|AUD
278503|535003|230|2017-08-16|2017-08-16|EUR
278504|1822172|470|2017-08-16|2017-08-16|USD
278505|1838182|999999|2017-08-16|2017-08-22|USD
278600|549043|255|2017-08-17|2017-08-17|EUR
278601|967008|999999|2017-08-17|2017-08-22|GBP
278602|1716713|999999|2017-08-17|2017-08-19|USD
278603|434050|999999|2017-08-17|2017-08-19|EUR
278604|1185993|410|2017-08-17|2017-08-17|GBP
278605|2044795|430|2017-08-17|2017-08-17|USD
278700|604089|120|2017-08-18|2017-08-18|EUR
278701|819031|999999|2017-08-18|2017-08-21|EUR
278702|1909720|999999|2017-08-18|2017-08-20|USD
278703|543261|190|2017-08-18|2017-08-18|EUR
278800|198202|35|2017-08-19|2017-08-19|AUD
278801|1982054|430|2017-08-19|2017-08-19|USD
278802|1971558|999999|2017-08-19|2017-08-21|USD
278803|1690387|630|2017-08-19|2017-08-19|USD
278804|648014|999999|2017-08-19|2017-08-21|EUR
278805|1822616|999999|2017-08-19|2017-08-21|USD
278806|159158|35|2017-08-19|2017-08-19|AUD
278807|1975349|450|2017-08-19|2017-08-19|USD
279000|587770|999999|2017-08-21|2017-08-25|EUR
279001|985256|999999|2017-08-21|2017-08-25|GBP
279002|31061|35|2017-08-21|2017-08-21|AUD
279100|500599|230|2017-08-22|2017-08-22|EUR
279101|201613|72|2017-08-22|2017-08-22|CAD
279102|1394280|999999|2017-08-22|2017-08-27|USD
279103|608329|160|2017-08-22|2017-08-22|EUR
279200|828663|999999|2017-08-23|2017-08-25|EUR
279201|1481483|530|2017-08-23|2017-08-23|USD
279202|805472|330|2017-08-23|2017-08-23|EUR
279203|1501436|650|2017-08-23|2017-08-23|USD
279204|167040|35|2017-08-23|2017-08-23|AUD
279205|1880968|999999|2017-08-23|2017-08-25|USD
279300|159242|40|2017-08-24|2017-08-24|AUD
279301|878667|330|2017-08-24|2017-08-24|EUR
279302|759874|999999|2017-08-24|2017-08-28|EUR
279303|717955|999999|2017-08-24|2017-08-27|EUR
279304|1956984|999999|2017-08-24|2017-08-25|USD
279305|506550|999999|2017-08-24|2017-08-26|EUR
279400|1052196|390|2017-08-25|2017-08-25|GBP
279401|252383|80|2017-08-25|2017-08-25|CAD
279402|210734|100|2017-08-25|2017-08-25|CAD
279403|552550|200|2017-08-25|2017-08-25|EUR
279500|200547|72|2017-08-26|2017-08-26|CAD
279501|1200139|450|2017-08-26|2017-08-26|USD
279502|148688|999999|2017-08-26|2017-08-29|AUD
279503|1903079|999999|2017-08-26|2017-08-28|USD
279504|763460|999999|2017-08-26|2017-09-01|EUR
279505|1376346|530|2017-08-26|2017-08-26|USD
279506|382314|80|2017-08-26|2017-08-26|CAD
279507|1630447|500|2017-08-26|2017-08-26|USD
279700|1864574|610|2017-08-28|2017-08-28|USD
279701|1407125|630|2017-08-28|2017-08-28|USD
279702|333259|999999|2017-08-28|2017-09-01|CAD
279800|53995|999999|2017-08-29|2017-08-31|AUD
279801|1405456|585|2017-08-29|2017-08-29|USD
279802|169603|40|2017-08-29|2017-08-29|AUD
279803|1982635|999999|2017-08-29|2017-09-01|USD
279900|548362|240|2017-08-30|2017-08-30|EUR
279901|469200|200|2017-08-30|2017-08-30|EUR
279902|606019|999999|2017-08-30|2017-09-02|EUR
279903|234270|90|2017-08-30|2017-08-30|CAD
279904|1219057|999999|2017-08-30|2017-09-01|USD
279905|1783077|430|2017-08-30|2017-08-30|USD
280000|1756470|999999|2017-08-31|2017-09-01|USD
280001|205618|999999|2017-08-31|2017-09-04|CAD
280002|1367344|550|2017-08-31|2017-08-31|USD
280003|1223699|999999|2017-08-31|2017-09-02|USD
280004|961200|999999|2017-08-31|2017-09-01|GBP
280005|1520252|999999|2017-08-31|2017-09-05|USD
280100|1392223|999999|2017-09-01|2017-09-03|USD
280101|1575905|500|2017-09-01|2017-09-01|USD
280102|553967|255|2017-09-01|2017-09-01|EUR
280103|501690|270|2017-09-01|2017-09-01|EUR
280200|353346|999999|2017-09-02|2017-09-06|CAD
280201|447306|255|2017-09-02|2017-09-02|EUR
280202|739204|290|2017-09-02|2017-09-02|EUR
280203|2094523|570|2017-09-02|2017-09-02|USD
280204|148315|999999|2017-09-02|2017-09-07|AUD
280205|203320|999999|2017-09-02|2017-09-03|CAD
280206|133956|40|2017-09-02|2017-09-02|AUD
280207|1961360|999999|2017-09-02|2017-09-04|USD
280400|990042|400|2017-09-04|2017-09-04|GBP
280401|988956|390|2017-09-04|2017-09-04|GBP
280402|1702861|450|2017-09-04|2017-09-04|USD
280500|1694260|999999|2017-09-05|2017-09-08|USD
280501|1374760|999999|2017-09-05|2017-09-08|USD
280502|1411518|510|2017-09-05|2017-09-05|USD
280503|1265115|999999|2017-09-05|2017-09-09|USD
280600|1820167|999999|2017-09-06|2017-09-10|USD
280601|1803427|630|2017-09-06|2017-09-06|USD
280602|223279|80|2017-09-06|2017-09-06|CAD
280603|300324|80|2017-09-06|2017-09-06|CAD
280604|1418609|450|2017-09-06|2017-09-06|USD
280605|133913|60|2017-09-06|2017-09-06|AUD
280700|1758208|999999|2017-09-07|2017-09-10|USD
280701|765486|290|2017-09-07|2017-09-07|EUR
280702|339939|999999|2017-09-07|2017-09-09|CAD
280703|325838|999999|2017-09-07|2017-09-09|CAD
280704|1797850|660|2017-09-07|2017-09-07|USD
280705|1914292|610|2017-09-07|2017-09-07|USD
280706|2044151|999999|2017-09-07|2017-09-13|USD
280800|591788|999999|2017-09-08|2017-09-10|EUR
280801|110781|999999|2017-09-08|2017-09-10|AUD
280802|2049944|540|2017-09-08|2017-09-08|USD
280803|539726|240|2017-09-08|2017-09-08|EUR
280900|971950|999999|2017-09-09|2017-09-12|GBP
280901|1791133|999999|2017-09-09|2017-09-12|USD
280902|1276455|450|2017-09-09|2017-09-09|USD
280903|1278529|440|2017-09-09|2017-09-09|USD
280904|1570973|560|2017-09-09|2017-09-09|USD
280905|823632|999999|2017-09-09|2017-09-10|EUR
280906|801402|310|2017-09-09|2017-09-09|EUR
280907|2014362|999999|2017-09-09|2017-09-12|USD
281100|1281861|630|2017-09-11|2017-09-11|USD
281101|696675|999999|2017-09-11|2017-09-13|EUR
281102|410091|999999|2017-09-11|2017-09-16|EUR
281200|1079115|390|2017-09-12|2017-09-12|GBP
281201|1937236|430|2017-09-12|2017-09-12|USD
281202|1482590|999999|2017-09-12|2017-09-16|USD
281203|2077178|590|2017-09-12|2017-09-12|USD
281300|2055843|585|2017-09-13|2017-09-13|USD
281301|485370|999999|2017-09-13|2017-09-15|EUR
281302|1978189|510|2017-09-13|2017-09-13|USD
281303|1876850|999999|2017-09-13|2017-09-15|USD
281304|1155116|370|2017-09-13|2017-09-13|GBP
281305|1332638|550|2017-09-13|2017-09-13|USD
281400|1289268|510|2017-09-14|2017-09-14|USD
281401|1351466|570|2017-09-14|2017-09-14|USD
281402|1598368|999999|2017-09-14|2017-09-20|USD
281403|1323737|999999|2017-09-14|2017-09-15|USD
281404|1799993|430|2017-09-14|2017-09-14|USD
281405|238936|90|2017-09-14|2017-09-14|CAD
281406|1227654|560|2017-09-14|2017-09-14|USD
281500|1910458|999999|2017-09-15|2017-09-24|USD
281501|1861289|999999|2017-09-15|2017-09-20|USD
281502|1434378|999999|2017-09-15|2017-09-19|USD
281503|1867082|670|2017-09-15|2017-09-15|USD
281600|279899|100|2017-09-16|2017-09-16|CAD
281601|1687681|510|2017-09-16|2017-09-16|USD
281602|423308|999999|2017-09-16|2017-09-19|EUR
281603|238010|90|2017-09-16|2017-09-16|CAD
281604|1434846|999999|2017-09-16|2017-09-18|USD
281605|494519|999999|2017-09-16|2017-09-19|EUR
281606|1643427|999999|2017-09-16|2017-09-21|USD
281607|1221795|999999|2017-09-16|2017-09-20|USD
281800|1888282|605|2017-09-18|2017-09-18|USD
281801|808874|999999|2017-09-18|2017-09-19|EUR
281802|572431|999999|2017-09-18|2017-09-21|EUR
281900|352271|999999|2017-09-19|2017-09-20|CAD
281901|1947587|470|2017-09-19|2017-09-19|USD
281902|367753|80|2017-09-19|2017-09-19|CAD
281903|1580322|999999|2017-09-19|2017-09-22|USD
282000|1007850|420|2017-09-20|2017-09-20|GBP
282001|1893095|999999|2017-09-20|2017-09-21|USD
282002|1949144|530|2017-09-20|2017-09-20|USD
282003|794784|999999|2017-09-20|2017-09-21|EUR
282004|1541091|999999|2017-09-20|2017-09-25|USD
282005|1787983|999999|2017-09-20|2017-09-22|USD
282100|1732072|999999|2017-09-21|2017-09-28|USD
282101|1434144|430|2017-09-21|2017-09-21|USD
282102|2014548|450|2017-09-21|2017-09-21|USD
282103|1231026|999999|2017-09-21|2017-09-23|USD
282104|1049861|999999|2017-09-21|2017-09-25|GBP
282105|1754312|660|2017-09-21|2017-09-21|USD
282106|837010|999999|2017-09-21|2017-09-24|EUR
282200|1981585|999999|2017-09-22|2017-09-27|USD
282201|656633|999999|2017-09-22|2017-09-26|EUR
282202|316132|72|2017-09-22|2017-09-22|CAD
282203|743618|999999|2017-09-22|2017-09-25|EUR
282300|962533|999999|2017-09-23|2017-09-27|GBP
282301|743694|290|2017-09-23|2017-09-23|EUR
282302|432955|200|2017-09-23|2017-09-23|EUR
282303|2048869|999999|2017-09-23|2017-09-27|USD
282304|619884|999999|2017-09-23|2017-09-25|EUR
282305|2023069|610|2017-09-23|2017-09-23|USD
282306|211976|999999|2017-09-23|2017-09-25|CAD
282307|50243|50|2017-09-23|2017-09-23|AUD
282308|1665827|465|2017-09-23|2017-09-23|USD
282500|45620|40|2017-09-25|2017-09-25|AUD
282501|1395988|999999|2017-09-25|2017-09-27|USD
282502|1418149|510|2017-09-25|2017-09-25|USD
282600|1535726|999999|2017-09-26|2017-09-28|USD
282601|2042861|550|2017-09-26|2017-09-26|USD
282602|1482263|450|2017-09-26|2017-09-26|USD
282603|1523876|650|2017-09-26|2017-09-26|USD
282604|1444814|999999|2017-09-26|2017-10-03|USD
282700|1470648|585|2017-09-27|2017-09-27|USD
282701|1508116|999999|2017-09-27|2017-09-29|USD
282702|292897|999999|2017-09-27|2017-09-30|CAD
282703|264385|90|2017-09-27|2017-09-27|CAD
282704|149257|50|2017-09-27|2017-09-27|AUD
282705|1327548|999999|2017-09-27|2017-09-29|USD
282800|910060|999999|2017-09-28|2017-09-29|GBP
282801|1648901|999999|2017-09-28|2017-09-30|USD
282802|583886|999999|2017-09-28|2017-10-01|EUR
282803|1627075|999999|2017-09-28|2017-10-01|USD
282804|94455|999999|2017-09-28|2017-09-30|AUD
282805|1728749|999999|2017-09-28|2017-09-30|USD
282806|417606|999999|2017-09-28|2017-09-30|EUR
282900|416463|999999|2017-09-29|2017-10-03|EUR
282901|1681885|999999|2017-09-29|2017-10-04|USD
282902|337654|100|2017-09-29|2017-09-29|CAD
282903|829929|330|2017-09-29|2017-09-29|EUR
282904|1958664|450|2017-09-29|2017-09-29|USD
283000|1733759|465|2017-09-30|2017-09-30|USD
283001|831130|320|2017-09-30|2017-09-30|EUR
283002|1636421|570|2017-09-30|2017-09-30|USD
283003|1649428|999999|2017-09-30|2017-10-03|USD
283004|1955526|465|2017-09-30|2017-09-30|USD
283005|963812|999999|2017-09-30|2017-10-01|GBP
283006|1412880|999999|2017-09-30|2017-10-04|USD
283007|880449|330|2017-09-30|2017-09-30|EUR
283008|1772930|670|2017-09-30|2017-09-30|USD
283200|823264|340|2017-10-02|2017-10-02|EUR
283201|1564727|999999|2017-10-02|2017-10-03|USD
283202|1556280|670|2017-10-02|2017-10-02|USD
283300|463320|200|2017-10-03|2017-10-03|EUR
283301|1441972|560|2017-10-03|2017-10-03|USD
283302|1464281|999999|2017-10-03|2017-10-05|USD
283303|441779|200|2017-10-03|2017-10-03|EUR
283304|1290364|999999|2017-10-03|2017-10-04|USD
283400|1727052|999999|2017-10-04|2017-10-08|USD
283401|138552|999999|2017-10-04|2017-10-09|AUD
283402|1283681|530|2017-10-04|2017-10-04|USD
283403|670260|999999|2017-10-04|2017-10-07|EUR
283404|1535952|999999|2017-10-04|2017-10-07|USD
