OrderKey|Line Number|ProductKey|Quantity|Unit Price|Net Price|Unit Cost
371205|1|677|7|79|71.1|40.28
371205|2|2482|5|350|304.5|160.95
371205|3|507|8|259|225.33|119.11
371205|4|761|5|16.9|16.9|8.62
371205|5|1596|7|12.66|12.4068|5.82
371206|0|1933|1|3199.99|2975.9907|1060.22
371206|1|1694|3|8.88|8.0808|4.08
371207|0|1444|1|230|209.3|105.77
371207|1|1614|3|259.99|259.99|86.14
371208|0|2511|3|4.06|4.06|2.07
371208|1|1476|3|288|267.84|132.44
371208|2|2279|1|339|339|155.89
371208|3|1711|1|70.13|70.13|32.25
371209|0|1577|3|219|199.29|72.56
371400|0|161|2|1592.2|1480.746|527.53
371400|1|2173|4|163|161.37|83.1
371400|2|1422|7|301|301|138.42
371400|3|2489|1|14.99|13.6409|7.64
371401|0|1618|5|58.99|51.3213|27.13
371401|1|972|8|129|110.94|59.32
371401|2|525|2|99|86.13|50.47
371401|3|350|2|399|347.13|203.42
371402|0|55|1|296|263.44|98.07
371500|0|1364|5|26.99|26.99|12.41
371501|0|1502|4|239|205.54|109.91
371502|0|101|1|120|120|55.18
371502|1|423|7|599|533.11|275.46
371502|2|1270|2|6.95|6.95|3.54
371503|0|1697|1|5.39|4.7432|2.75
371503|1|1061|2|588|588|194.82
370007|1|88|2|149.99|131.9912|49.69
370100|0|1410|8|230|230|105.77
370101|0|1534|1|398|342.28|131.87
370102|0|443|9|349|324.57|160.49
370102|1|1482|1|239|239|109.91
370103|0|1568|5|280|246.4|128.76
370103|1|2490|7|14.99|14.99|7.64
370104|0|1536|4|298|265.22|137.04
370104|1|528|1|819|819|271.35
370104|2|1492|3|239|239|109.91
370105|0|1581|2|219|192.72|72.56
370105|1|847|4|15.6|14.04|7.95
370106|0|1512|1|239|222.27|109.91
370106|1|1595|6|22.89|22.6611|7.58
370106|2|2316|1|79.95|71.955|40.76
370106|3|1605|1|289.99|249.3914|96.08
370107|0|1613|2|109.99|98.991|56.08
370107|1|2489|2|14.99|14.99|7.64
370107|2|1410|1|230|209.3|105.77
370108|0|1617|3|57.99|55.6704|26.67
370108|1|2093|2|508|508|258.99
370108|2|1696|7|16.99|14.6114|5.63
370109|0|1542|6|330|330|151.76
370109|1|451|6|559|480.74|257.06
370109|2|1471|1|229|229|105.31
370200|0|1489|1|310|310|142.56
370200|1|1578|4|219|192.72|72.56
370200|2|1793|2|43|37.84|21.92
370200|3|1402|1|43.81|40.7433|20.15
370201|0|107|1|132.99|119.691|61.16
370202|0|1318|1|16.99|15.1211|8.66
370203|0|477|1|619|538.53|205.09
370203|1|246|3|329|329|167.73
370203|2|312|4|259|225.33|132.05
370204|0|1656|1|159.99|142.3911|73.57
370204|1|1419|5|258|234.78|118.65
370204|2|2504|1|9.99|9.99|5.09
370205|0|718|3|159|159|73.12
370205|1|1650|5|289.99|258.0911|96.08
370205|2|1558|7|380|380|125.9
370205|3|1464|1|258|250.26|118.65
370206|0|1531|8|389|342.32|128.88
370206|1|659|1|118|112.1|54.26
370206|2|515|4|59|51.33|30.08
370206|3|2496|1|9.99|9.8901|5.09
370207|0|1499|2|310|279|142.56
370207|1|1188|1|180|158.4|91.77
370208|0|144|4|299.99|296.9901|152.94
370209|0|716|2|209|181.83|69.25
370209|1|1932|3|129.99|129.99|66.27
370209|2|2488|1|14.99|13.9407|7.64
370210|0|1596|2|12.66|12.4068|5.82
370210|1|425|1|369|369|188.13
370211|0|468|1|179|166.47|82.32
370212|0|145|1|2899.99|2551.9912|960.82
370213|0|2264|1|268.5|255.075|123.47
370213|1|1448|2|256|230.4|117.73
370300|0|63|2|181|161.09|83.24
370301|0|133|1|349.95|325.4535|160.93
370302|0|1335|3|40.19|34.9653|18.48
370302|1|2499|4|23.72|20.8736|12.09
370303|0|1916|1|899|899|413.42
370304|0|1578|1|219|197.1|72.56
370305|0|2093|3|508|436.88|258.99
370306|0|1595|2|22.89|20.8299|7.58
370306|1|1676|4|8.99|8.9001|4.13
370307|0|1650|1|289.99|269.6907|96.08
370307|1|95|1|67.4|58.638|34.36
370307|2|786|2|11.5|11.5|5.86
370307|3|1484|3|208|208|95.65
370307|4|910|2|102|102|52
370307|5|1637|3|17.99|15.6513|8.27
370308|0|1364|1|26.99|24.0211|12.41
370308|1|1690|1|16.99|16.1405|5.63
370309|0|680|1|116|116|53.34
370310|0|2062|1|199.99|173.9913|91.97
370310|1|1658|3|109.99|100.0909|56.08
370311|0|1388|1|32.99|29.0312|15.17
370311|1|1424|1|200|174|91.97
370312|0|2504|2|9.99|9.99|5.09
370312|1|493|8|259|227.92|119.11
370312|2|1633|1|13.89|12.7788|6.39
370312|3|2499|2|23.72|23.2456|12.09
370313|0|1872|2|2652|2333.76|878.66
370313|1|1105|4|568|494.16|188.19
370314|0|1775|7|43|43|21.92
370400|0|1802|1|32|29.76|16.31
370401|0|1705|1|6.88|6.88|3.16
370402|0|1580|1|219|190.53|72.56
370402|1|609|2|139|139|70.87
370402|2|416|3|969|930.24|321.05
370403|0|1694|2|8.88|8.6136|4.08
370403|1|1213|6|170|170|86.67
370404|0|2504|1|9.99|9.99|5.09
370404|1|1613|1|109.99|103.3906|56.08
370404|2|436|4|369|321.03|188.13
370404|3|1692|3|6.99|6.99|3.56
370405|0|1672|10|16.89|15.201|5.6
370406|0|2494|1|2.94|2.793|1.5
370406|1|1676|6|8.99|8.0011|4.13
370406|2|1575|6|60.99|60.99|28.05
370406|3|1295|4|595|541.45|197.14
370406|4|1714|4|70.13|70.13|32.25
370406|5|627|1|499|499|254.4
370406|6|2497|3|9.99|9.8901|5.09
370407|0|1447|7|299|299|137.5
370408|0|1597|6|57.88|53.2496|26.62
370408|1|733|3|158|139.04|72.66
370408|2|1577|4|219|219|72.56
370408|3|698|3|188|188|86.45
370409|0|2082|2|139.99|128.7908|71.37
370500|0|1621|4|12.99|12.99|6.62
370501|0|895|2|41.73|37.557|21.28
370501|1|1317|1|12.99|12.99|6.62
370501|2|1599|1|57.88|54.4072|26.62
370501|3|780|2|19.95|19.95|9.17
370501|4|1659|5|259.99|231.3911|86.14
370502|0|377|5|599|527.12|275.46
370502|1|1324|1|38.99|37.0405|17.93
370503|0|1615|2|289.99|289.99|96.08
370504|0|495|2|139|139|70.87
370505|0|1685|5|5.39|5.0127|2.75
370506|0|1323|1|35.99|30.9514|16.55
370506|1|1641|7|12.66|11.394|5.82
370506|2|1585|5|22.89|22.89|7.58
370507|0|1964|2|899|836.07|413.42
370507|1|2260|1|79.95|72.7545|40.76
370507|2|144|2|299.99|296.9901|152.94
370508|0|1652|7|179.99|179.99|82.77
370508|1|96|4|67.4|67.4|34.36
370509|0|1006|3|290|263.9|96.08
370510|0|1691|3|5.39|4.7432|2.75
370511|0|1757|3|55.9|51.428|28.5
370511|1|1704|9|6.99|6.2211|3.56
370512|0|1611|2|159.99|159.99|73.57
370512|1|1453|1|258|242.52|118.65
370512|2|1677|2|4.99|4.99|2.54
370513|0|1683|3|4.99|4.99|2.54
370513|1|1370|1|47.44|47.44|21.82
370513|2|1605|1|289.99|289.99|96.08
370514|0|1603|3|109.99|97.8911|56.08
370515|0|60|4|156|156|79.53
369400|2|455|5|919|919|304.48
369400|3|410|5|1299|1156.11|430.38
369400|4|930|2|33.99|29.9112|17.33
369400|5|531|7|679|624.68|224.97
369400|6|582|2|299|299|137.5
369401|0|530|1|619|538.53|205.09
369402|0|1696|1|16.99|14.7813|5.63
369402|1|1574|3|59.99|52.7912|27.59
369403|0|237|3|599|521.13|275.46
369403|1|1592|6|17.99|17.0905|8.27
369403|2|1526|2|238|214.2|109.45
369403|3|446|7|219.95|219.95|112.14
369404|0|2215|2|339|294.93|155.89
369404|1|172|7|169|147.03|55.99
369404|2|1557|1|310|269.7|142.56
369500|0|1799|1|26|22.62|13.26
369501|0|1541|1|299|263.12|137.5
369501|1|1322|4|32.99|32.99|15.17
369501|2|1493|1|269|239.41|123.7
369501|3|621|1|139|122.32|70.87
369502|0|1581|4|219|192.72|72.56
369502|1|1493|3|269|269|123.7
369503|0|188|1|116.9|109.886|53.76
369503|1|129|4|200|172|101.97
369504|0|1349|2|9.99|8.6913|5.09
369505|0|1607|1|179.99|158.3912|82.77
369505|1|837|1|11.9|10.234|6.07
369505|2|1417|2|268|243.88|123.24
369506|0|1669|3|6.89|6.89|3.17
369507|0|84|9|99.99|86.9913|45.98
369507|1|423|5|599|515.14|275.46
369507|2|1613|4|109.99|103.3906|56.08
369507|3|1551|2|299|284.05|137.5
369508|0|236|3|1109|1053.55|367.43
369600|0|1635|3|22.89|20.1432|7.58
369601|0|1821|1|32|27.52|16.31
369601|1|1595|4|22.89|20.3721|7.58
369602|0|1448|3|256|238.08|117.73
369603|0|1339|3|35.99|32.0311|16.55
369603|1|492|4|679|604.31|224.97
369604|0|1643|1|57.88|57.88|26.62
369605|0|150|7|1184.97|1184.97|392.6
369605|1|1381|1|22.99|19.7714|10.57
369605|2|1769|7|34|34|15.64
369605|3|1693|6|6.88|6.0544|3.16
369606|0|1487|3|267|267|122.78
369606|1|1432|1|300|300|137.96
369607|0|426|1|499.9|434.913|254.86
369608|0|1615|4|289.99|284.1902|96.08
369608|1|1604|5|259.99|228.7912|86.14
369609|0|119|1|119.99|107.991|61.17
369610|0|1612|6|179.99|163.7909|82.77
369610|1|2355|5|635.99|553.3113|210.72
369610|2|1631|8|12.66|12.66|5.82
369610|3|497|4|99|91.08|50.47
369700|0|1430|2|299|299|137.5
369701|0|523|1|139|137.61|70.87
369701|1|494|2|279|279|128.3
369701|2|1691|4|5.39|5.3361|2.75
369701|3|1441|7|200|200|91.97
369701|4|1570|7|398|350.24|131.87
369701|5|1670|6|8.99|8.2708|4.13
369701|6|2487|2|400|400|183.95
369702|0|1790|4|43|37.84|21.92
369702|1|807|2|11.9|11.9|6.07
369702|2|2148|6|445|445|204.64
369703|0|468|1|179|157.52|82.32
369704|0|1502|3|239|215.1|109.91
369704|1|1561|2|402|369.84|133.19
369704|2|2489|3|14.99|13.3411|7.64
369704|3|1800|3|32|27.84|16.31
369705|0|1533|5|299|299|137.5
369706|0|1825|1|32|32|16.31
369706|1|1455|1|290|272.6|133.36
369706|2|2279|1|339|339|155.89
369706|3|1612|3|179.99|172.7904|82.77
369706|4|1126|4|332|298.8|152.68
369706|5|1599|4|57.88|54.4072|26.62
369706|6|69|7|25.69|25.69|13.1
369707|0|1126|2|332|332|152.68
369800|0|1442|4|529|529|175.27
369801|0|1619|3|59.99|52.7912|27.59
369802|0|382|1|382.95|382.95|195.24
369803|0|1457|1|189|175.77|86.91
369803|1|1432|8|300|300|137.96
369803|2|1598|1|57.88|57.88|26.62
369803|3|355|6|363.5|323.515|185.32
369803|4|1611|3|159.99|159.99|73.57
369803|5|1422|1|301|301|138.42
369804|0|253|7|299|272.09|152.44
369804|1|1547|5|255|229.5|117.27
369805|0|1418|4|293|293|134.74
369805|1|2106|5|877.5|780.975|403.53
369805|2|478|1|679|590.73|224.97
369805|3|1600|5|57.88|50.9344|26.62
369806|0|1664|3|8.99|8.0011|4.13
369806|1|473|1|59|59|30.08
369806|2|658|7|209|209|69.25
369807|0|1627|3|17.99|16.3709|8.27
369807|1|1584|1|9.99|8.8911|5.09
369807|2|1568|3|280|280|128.76
369808|0|658|7|209|194.37|69.25
369808|1|478|2|679|617.89|224.97
369808|2|2391|2|459.99|427.7907|211.53
369809|0|2093|2|508|508|258.99
369810|0|130|2|200|180|101.97
369810|1|2058|7|139.99|127.3909|71.37
369811|0|1492|2|239|239|109.91
369811|1|1015|4|200|182|66.26
369811|2|371|2|599|515.14|275.46
369812|0|231|2|569|569|261.66
369812|1|1297|3|25|25|11.5
369812|2|460|8|299.9|299.9|152.9
369813|0|74|2|37.95|34.914|17.45
369813|1|1342|3|42|36.12|13.92
369813|2|1687|3|6.88|6.88|3.16
369814|0|2354|2|109.99|109.99|56.08
369815|0|328|1|259|259|132.05
369815|1|1952|1|899|836.07|413.42
369815|2|910|2|102|92.82|52
369900|0|609|3|139|139|70.87
370000|0|1779|4|43|43|21.92
370000|1|1621|3|12.99|12.99|6.62
370001|0|313|2|269|252.86|137.14
370002|0|1600|1|57.88|57.88|26.62
370002|1|1624|8|219|219|72.56
370002|2|141|1|299.99|260.9913|152.94
370002|3|1541|6|299|263.12|137.5
370003|0|2508|2|4.74|4.74|2.42
370003|1|1441|8|200|178|91.97
370003|2|1454|6|199|183.08|91.51
370003|3|407|6|599|599|275.46
370003|4|645|1|209|209|69.25
370003|5|524|1|179|179|82.32
370004|0|1703|5|5.39|4.851|2.75
370005|0|661|7|228|228|75.54
370005|1|1589|6|9.99|9.2907|5.09
370006|0|1730|2|77.68|67.5816|35.72
370006|1|1577|2|219|190.53|72.56
370006|2|1343|7|31|31|10.27
370006|3|1511|6|229|226.71|105.31
370007|0|167|1|69|69|35.18
368105|0|1131|4|328|295.2|150.84
368105|1|1577|2|219|197.1|72.56
368105|2|1591|4|12.66|12.66|5.82
368105|3|101|6|120|103.2|55.18
368200|0|1460|6|300|258|137.96
368200|1|1408|9|529|465.52|175.27
368200|2|457|2|219.95|200.1545|112.14
368201|0|1324|4|38.99|34.7011|17.93
368202|0|2291|1|101.99|94.8507|52
368203|0|1782|8|43|43|21.92
368204|0|1591|2|12.66|12.66|5.82
368204|1|1586|1|12.66|11.7738|5.82
368204|2|1833|1|1989|1989|914.67
368204|3|1450|3|308|308|141.64
368205|0|1466|3|290|290|133.36
368205|1|2511|3|4.06|4.06|2.07
368205|2|1559|1|299|260.13|137.5
368205|3|1558|1|380|380|125.9
368206|0|1424|3|200|176|91.97
368206|1|429|1|599.9|599.9|275.87
368206|2|518|2|869|869|287.92
368206|3|2239|3|339|315.27|155.89
368300|0|731|7|129|116.1|59.32
368301|0|1623|9|219|199.29|72.56
368301|1|1582|4|17.99|17.99|8.27
368302|0|11|1|59.99|59.99|30.58
368302|2|1425|2|529|486.68|175.27
368303|0|1494|2|208|193.44|95.65
368303|1|857|1|129|129|59.32
368400|0|1575|2|60.99|53.0613|28.05
368401|0|395|7|326|326|166.2
368401|1|1522|5|380|345.8|125.9
368401|2|1439|2|301|301|138.42
368402|0|1236|3|188|188|95.85
368402|1|1648|6|109.99|109.99|56.08
368402|2|2408|1|299.99|299.99|152.94
368402|3|168|3|129|118.68|59.32
368402|4|1561|3|402|349.74|133.19
368403|0|1452|1|293|293|134.74
368403|1|1577|7|219|203.67|72.56
368404|0|1392|1|42.99|36.9714|14.24
368405|0|2134|1|1650|1468.5|546.68
368406|0|505|1|619|619|205.09
368406|1|1601|4|159.99|139.1913|73.57
368406|2|613|2|699|629.1|321.44
368406|3|54|4|296|257.52|98.07
368406|4|1984|3|199.99|199.99|91.97
368406|5|1771|4|34|30.94|17.33
368407|0|1796|7|43|37.84|21.92
368407|1|1588|3|13.89|12.7788|6.39
368407|2|1696|7|16.99|16.99|5.63
368408|0|2516|6|3.35|2.948|1.71
368408|1|1589|1|9.99|9.99|5.09
368600|0|1477|3|267|232.29|122.78
368600|1|1812|2|32|29.44|16.31
368600|2|1741|3|28|28|14.28
368601|0|829|2|39.9|35.112|13.22
368601|1|1739|2|28|26.04|14.28
368601|2|1493|1|269|247.48|123.7
368601|3|1469|2|200|200|91.97
368601|4|1212|4|180|174.6|91.77
368602|0|1379|2|23|20.24|10.58
368602|1|1052|1|627|545.49|207.74
368602|2|1573|3|58.99|58.99|27.13
368602|3|60|3|156|156|79.53
368700|0|444|3|919|919|304.48
368701|0|2162|1|149|149|75.96
368702|0|524|2|179|155.73|82.32
368703|0|1534|1|398|382.08|131.87
368703|1|1728|4|79.8|79.8|36.7
368800|0|1005|7|268|268|88.79
368801|0|1689|2|4.98|4.98|2.54
368801|1|1638|2|13.89|12.2232|6.39
368802|0|562|1|109|102.46|55.57
368802|1|1455|3|290|255.2|133.36
368802|2|1802|1|32|28.16|16.31
368802|3|1603|3|109.99|97.8911|56.08
368803|0|1627|4|17.99|17.99|8.27
368804|0|1361|6|49.99|49.99|16.56
368804|1|546|6|299|299|99.06
368804|2|1583|5|13.89|13.89|6.39
368804|3|1663|3|6.89|6.3388|3.17
368805|0|1182|1|1560|1560|516.86
368900|0|1457|5|189|164.43|86.91
368901|0|1551|6|299|266.11|137.5
368901|1|121|1|119.99|107.991|61.17
368901|2|1529|1|255|255|117.27
368902|0|1791|2|43|43|21.92
368902|1|1790|4|43|38.27|21.92
368902|2|563|7|2295|2088.45|760.38
368903|0|1629|1|9.99|9.2907|5.09
368904|0|1909|2|3199.99|2911.9909|1060.22
368904|1|1358|7|39.99|39.99|18.39
368904|2|1709|2|70.13|70.13|32.25
368904|3|2076|3|139.99|121.7913|71.37
368904|4|1634|1|9.99|9.99|5.09
368904|5|1470|6|129|112.23|65.77
368904|6|1708|1|70.13|61.7144|32.25
368905|0|1223|1|460|460|234.52
368906|0|1679|4|5.5|5.5|2.8
369000|0|1559|8|299|299|137.5
369000|1|1554|2|298|298|137.04
369000|2|365|7|599|533.11|275.46
369000|3|865|1|50.99|50.99|23.45
369001|0|173|4|89.9|78.213|45.83
369001|2|681|1|121|112.53|55.64
369002|0|1493|6|269|250.17|123.7
369002|1|2514|3|129.99|113.0913|43.07
369002|2|602|2|999|999|459.4
369002|3|80|3|40.55|38.117|18.65
369003|0|1254|3|19.99|17.991|10.19
369003|1|1350|7|12.99|11.4312|6.62
369003|2|2069|3|179.99|165.5908|82.77
369003|3|1572|4|57.99|57.99|26.67
369003|4|1408|3|529|523.71|175.27
369003|5|430|1|269.95|269.95|137.63
369003|6|1696|10|16.99|16.99|5.63
369100|0|444|9|919|790.34|304.48
369100|1|2500|1|23.72|20.8736|12.09
369100|2|458|3|229.9|229.9|117.21
369100|3|1695|1|4.98|4.4322|2.54
369101|0|294|2|299|299|152.44
369102|0|64|5|181|155.66|83.24
369103|0|1627|5|17.99|16.191|8.27
369103|1|52|2|199.95|199.95|91.95
369104|0|1353|6|26.99|24.8308|12.41
369105|0|1690|3|16.99|16.99|5.63
369106|0|1471|1|229|206.1|105.31
369107|0|727|1|188|188|86.45
369108|0|1597|1|57.88|51.5132|26.62
369108|1|1172|3|422|417.78|215.15
369300|0|2099|3|257.5|257.5|131.28
369300|1|1736|7|28|28|14.28
369300|2|1705|1|6.88|6.192|3.16
369301|0|52|1|199.95|199.95|91.95
369301|1|1623|1|219|199.29|72.56
369302|0|1696|3|16.99|14.9512|5.63
369302|1|479|6|259|259|119.11
369302|2|1188|6|180|160.2|91.77
369302|3|2500|1|23.72|21.1108|12.09
369400|0|737|3|159|159|73.12
369400|1|2258|2|119.99|103.1914|61.17
366802|1|110|4|132.99|132.99|61.16
366803|0|855|1|129|129|59.32
366803|1|1578|1|219|188.34|72.56
366804|0|1346|2|23|20.7|10.58
366804|1|969|6|196.9|173.272|90.55
366804|2|1573|5|58.99|52.5011|27.13
366805|0|2080|3|199.99|187.9906|91.97
366806|0|1651|6|159.99|145.5909|73.57
366900|0|1629|8|9.99|9.99|5.09
366901|0|363|1|699|601.14|321.44
366902|0|1666|6|16.89|14.8632|5.6
366903|0|1625|1|219|194.91|72.56
366903|1|1790|1|43|38.7|21.92
367000|0|648|1|79|70.31|40.28
367000|1|1447|4|299|263.12|137.5
367000|2|1434|5|268|235.84|123.24
367001|0|1694|1|8.88|7.9032|4.08
367002|0|1434|2|268|268|123.24
367002|1|2498|3|23.72|23.72|12.09
367002|2|1592|3|17.99|15.6513|8.27
367002|3|1198|1|411|369.9|209.54
367003|0|1587|9|17.99|17.99|8.27
367003|1|1526|3|238|214.2|109.45
367004|0|2378|2|429.99|399.8907|197.74
367004|1|1411|1|268|233.16|123.24
367004|2|430|8|269.95|269.95|137.63
367005|0|300|4|219|188.34|111.65
367005|1|421|1|469|469|215.68
367006|0|2062|7|199.99|175.9912|91.97
367007|0|2490|1|14.99|14.99|7.64
367007|1|697|3|147|147|67.6
367007|2|1393|1|46.99|42.7609|15.57
367008|0|1721|9|70.13|63.117|32.25
367008|1|600|6|2499|2224.11|827.97
367008|2|1674|4|6.99|6.2211|3.56
367200|0|152|5|1184.97|1042.7736|392.6
367200|1|1566|3|266|266|122.32
367200|2|1658|1|109.99|98.991|56.08
367200|3|1821|2|32|32|16.31
367201|0|1299|3|25|25|11.5
367201|1|146|5|2899.99|2580.9911|960.82
367202|0|2088|5|508|462.28|258.99
367300|0|1138|1|391.9|348.791|180.22
367300|1|1474|2|208|183.04|95.65
367300|2|2016|1|139.99|139.99|71.37
367300|3|1537|3|368|327.52|121.93
367300|4|1792|1|43|43|21.92
367300|5|1663|2|6.89|6.0632|3.17
367301|0|1357|2|38.99|38.99|17.93
367302|0|983|1|196.9|179.179|90.55
367302|1|1558|6|380|380|125.9
367302|2|597|3|139|139|70.87
367302|3|486|4|69|69|35.18
367303|0|702|4|79|74.26|40.28
367303|1|2508|1|4.74|4.3608|2.42
367303|2|1680|3|6.99|6.99|3.56
367303|3|122|1|279.99|249.1911|128.76
367400|0|115|9|249.99|249.99|82.83
367401|0|1651|2|159.99|147.1908|73.57
367401|1|2514|1|129.99|114.3912|43.07
367401|2|1477|6|267|242.97|122.78
367401|3|162|2|1592.2|1432.98|527.53
367402|0|1158|1|1560|1404|516.86
367403|0|1334|1|35.99|33.4707|16.55
367404|0|1702|5|16.99|16.99|5.63
367404|1|879|1|13|13|6.63
367404|2|171|2|99|88.11|45.53
367405|0|1211|4|850|833|390.88
367405|1|77|5|37.95|34.155|17.45
367405|2|1460|2|300|300|137.96
367500|0|616|6|499|484.03|254.4
367501|0|1657|5|179.99|179.99|82.77
367501|1|434|4|599|551.08|275.46
367502|0|504|1|869|764.72|287.92
367502|1|1607|4|179.99|179.99|82.77
367503|0|1381|1|22.99|21.3807|10.57
367504|0|1157|2|1580|1406.2|523.49
367504|1|1580|4|219|219|72.56
367505|0|2056|1|199.99|177.9911|91.97
367505|1|447|1|229.9|200.013|117.21
367506|0|555|3|229|206.1|116.75
367506|1|1549|1|389|350.1|128.88
367600|0|425|6|369|343.17|188.13
367601|0|910|1|102|90.78|52
367601|1|403|4|699|699|321.44
367602|0|1592|1|17.99|15.6513|8.27
367603|0|1310|1|28|28|14.28
367603|1|1502|5|239|236.61|109.91
367603|2|179|3|119|102.34|54.72
367700|0|1766|7|54|54|24.83
367700|1|443|2|349|345.51|160.49
367700|2|67|2|25.69|25.69|13.1
367701|0|1481|1|229|203.81|105.31
367701|1|239|3|579|515.31|266.26
367701|2|2105|1|1475|1298|488.7
367702|0|532|1|259|259|119.11
367703|0|1630|1|22.89|22.89|7.58
367703|1|1615|2|289.99|278.3904|96.08
367704|0|1631|1|12.66|11.394|5.82
367704|1|1331|1|26.99|26.99|12.41
367704|2|1598|5|57.88|57.88|26.62
367705|0|1279|8|14.99|13.3411|7.64
367705|1|1569|1|299|272.09|137.5
367706|0|65|2|181|159.28|83.24
367707|0|1345|2|22|22|10.12
367708|0|2434|4|29.09|29.09|14.83
367900|0|1686|1|6.99|6.99|3.56
367900|1|1655|2|289.99|275.4905|96.08
367901|0|736|5|118|118|54.26
367901|1|169|3|119|119|54.72
367902|0|2110|4|1475|1268.5|488.7
367902|1|2270|2|635.99|604.1905|210.72
